,Sl. No.,Depot,Route No.,From,To,Route Length,Type,No.of Service,Departure Timings,Fare
0,1,SHN,192UD,ALANKULAM,CHENNAI,657,ULTRA,1,17.45,251
1,2,TRY,127UD,ANNAVASAL,CHENNAI,384,ULTRA,1,21.3,108
2,3,CBE,479UD,ARANI,COIMBATORE,394,ULTRA,1,21,337
3,4,CB,131UD,ARANTHANGI,CHENNAI,417,ULTRA,1,20.3,457
4,5,KKDI,126AU,ARIMALAM,CHENNAI,403,ULTRA,1,19.15,554
5,6,TCN,170AU,ARUPPUKOTTAI,CHENNAI,511,ULTRA,2,"19.00,20.00",836
6,7,PDY,145UD,AVUDAIYAR KOIL,CHENNAI,431,ULTRA,1,20,143
7,8,CC,965UD,AVUDAIYAR KOIL,TIRUPATHI,494,ULTRA,1,19,661
8,9,DGL,875BU,BANGALORE,BODI,481,ULTRA,1,20.15,323
9,10,CC,628UD,BANGALORE,CHENNAI (Via Chittoor),361,ULTRA,5,"07.30,08.00,10.30,22.30,23.00",829
10,11,HSR,831UD,BANGALORE,CHENNAI (Via Vellore),360,ULTRA,39,"04.30,05.00,05.30,07.00,07.30, 09.00,09.30,10.00,10.15,10.45, 11.30,13.00,14.30,16.00,16.30, 17.00,18.30,19.00,19.15,19.30, 20.00,20.15,20.30,20.45,21.00, 21.15,21.25,21.30,21.35,21.45, 22.01,22.15,22.30,22.45,22.50, 23.01,23.15,23.30,23.45",863
11,12,CC,843CU,BANGALORE,CHIDAMBARAM,377,ULTRA,1,22.15,140
12,13,CBE,838UD,BANGALORE,COIMBATORE,377,ULTRA,8,"08.30,09.00,10.00,20.30,21.15, 22.00,22.30,22.45,",314
13,14,MDU,875UD,BANGALORE,CUMBAM,503,ULTRA,1,19.45,501
14,15,CC,834UD,BANGALORE,KALPAKKAM,349,ULTRA,1,21.3,704
15,16,KKD,888UD,BANGALORE,KANYAKUMARI,720,ULTRA,2,"14.00,18.45",660
16,17,KKDI,857UD,BANGALORE,KARAIKUDI,449,ULTRA,1,20,279
17,18,KKM,843TU,BANGALORE,KUMBAKONAM,467,ULTRA,1,19.3,718
18,19,KKM,844UD,BANGALORE,KUMBAKONAM,438,ULTRA,2,"19.45,20.15",806
19,20,MDU,846UD,BANGALORE,MADURAI,461,ULTRA,7,"07.15,19.30,20.00,20.30,21.30, 22.00,22.30,",671
20,21,MAR,892UD,BANGALORE,MARTHANDAM,741,ULTRA,2,"15.00,19.15",444
21,22,TNJ,843UD,BANGALORE,MYLADUTHURAI,427,ULTRA,1,21,465
22,23,NGL,887UD,BANGALORE,NAGERCOIL,700,ULTRA,2,"16.00,17.30",557
23,24,MDU,879UD,BANGALORE,PALANI,410,ULTRA,2,"19.15,2015",422
24,25,CBE,854UD,BANGALORE,POLLACHI,397,ULTRA,1,20,152
25,26,PDY,622UD,BANGALORE,PUDUCHERRY,341,ULTRA,3,"10.30,21.05,21.30",210
26,27,PDY,623UD,BANGALORE,PUDUCHERRY,365,ULTRA,1,20.3,216
